rank,group_id,composite_score,frequency_score,time_score,consistency_score,recurrence_score,headcount_score,count,total_duration_s,n_sessions,n_machines,top_route
1,group_009,0.9156,1.0,1.0,0.578,1.0,1.0,107,2687.0,15,4,#/payroll-items
2,group_004,0.6644,0.645,0.539,0.686,0.667,1.0,69,1449.0,10,4,#/onboarding
3,group_003,0.6294,0.607,0.581,0.458,0.8,1.0,65,1560.0,12,4,#/leave-applications
4,group_002,0.4525,0.318,0.322,0.537,0.533,1.0,34,866.0,8,4,#/social-insurance
5,group_015,0.3907,0.178,0.143,0.856,0.467,0.75,19,383.0,7,3,#/social-insurance
6,group_010,0.3752,0.093,0.067,0.928,0.4,1.0,10,181.0,6,4,#/leave-applications
7,group_000,0.3745,0.215,0.209,0.66,0.4,0.75,23,562.0,6,3,#/resident-tax
8,group_007,0.3331,0.187,0.155,0.761,0.267,0.5,20,417.0,4,2,#/leave-applications
9,group_001,0.3067,0.159,0.215,0.478,0.267,0.75,17,579.0,4,3,#/http:/127.0.0.1:5132
10,group_018,0.3047,0.084,0.103,0.547,0.4,1.0,9,278.0,6,4,#/resident-tax
11,group_013,0.3044,0.065,0.049,0.738,0.467,0.75,7,131.0,7,3,#/dashboard
12,group_012,0.2729,0.019,0.012,1.0,0.133,0.5,2,32.0,2,2,#/social-insurance
13,group_027,0.2726,0.028,0.026,0.806,0.2,0.75,3,71.0,3,3,
14,group_017,0.2705,0.028,0.023,0.924,0.2,0.5,3,63.0,3,2,#/http:/127.0.0.1:5133
15,group_008,0.2577,0.121,0.102,0.724,0.2,0.25,13,273.0,3,1,#/payroll-items
16,group_014,0.2492,0.037,0.035,0.787,0.2,0.5,4,94.0,3,2,#/leave-applications
17,group_022,0.2483,0.037,0.032,0.786,0.2,0.5,4,86.0,3,2,#/onboarding
18,group_016,0.2463,0.056,0.033,0.392,0.4,1.0,6,89.0,6,4,#/payroll-items
19,group_030,0.2452,0.019,0.016,0.857,0.133,0.5,2,42.0,2,2,#/onboarding
20,group_039,0.2414,0.019,0.012,0.968,0.133,0.25,2,31.0,2,1,#/http:/127.0.0.1:5134
21,group_032,0.2413,0.019,0.016,0.837,0.133,0.5,2,43.0,2,2,#/payroll-items
22,group_023,0.2372,0.009,0.009,1.0,0.067,0.25,1,24.0,1,1,#/payroll-items
23,group_026,0.2371,0.009,0.009,1.0,0.067,0.25,1,23.0,1,1,
24,group_036,0.2368,0.009,0.007,1.0,0.067,0.25,1,20.0,1,1,#/leave-applications
25,group_038,0.2368,0.009,0.007,1.0,0.067,0.25,1,20.0,1,1,
26,group_006,0.2365,0.028,0.019,0.918,0.133,0.25,3,51.0,2,1,#/onboarding
27,group_033,0.2365,0.009,0.006,1.0,0.067,0.25,1,17.0,1,1,#/social-insurance
28,group_035,0.2364,0.009,0.006,1.0,0.067,0.25,1,16.0,1,1,#/http:/127.0.0.1:5133
29,group_031,0.2363,0.009,0.006,1.0,0.067,0.25,1,15.0,1,1,#/onboarding
30,group_034,0.2361,0.009,0.005,1.0,0.067,0.25,1,13.0,1,1,
31,group_025,0.2359,0.009,0.004,1.0,0.067,0.25,1,10.0,1,1,#/dashboard
32,group_021,0.2358,0.009,0.003,1.0,0.067,0.25,1,9.0,1,1,
33,group_024,0.2353,0.009,0.001,1.0,0.067,0.25,1,4.0,1,1,
34,group_037,0.235,0.009,0.0,1.0,0.067,0.25,1,1.0,1,1,
35,group_028,0.2297,0.019,0.015,0.78,0.133,0.5,2,41.0,2,2,#/onboarding
36,group_011,0.2229,0.028,0.03,0.711,0.133,0.5,3,81.0,2,2,#/payroll-items
37,group_005,0.2142,0.056,0.045,0.658,0.267,0.25,6,121.0,4,1,#/payroll-items
38,group_019,0.2032,0.019,0.02,0.642,0.133,0.5,2,53.0,2,2,#/onboarding
39,group_020,0.1599,0.047,0.041,0.0,0.333,1.0,5,110.0,5,4,#/dashboard
40,group_029,0.098,0.019,0.01,0.286,0.067,0.25,2,28.0,1,1,#/http:/127.0.0.1:5132
