label,count,total_duration_s,median_duration_s,mean_duration_s,n_sessions,n_machines,share_of_segments,share_of_time,consistency_score,n_distinct_apps,n_distinct_routes,top_app,top_route
proc_04_microsoft-edge_onboarding,38,783.0,19.0,20.6,9,4,0.0833,0.074,0.675,3,6,Microsoft Edge,#/onboarding
proc_06_microsoft-word_leave-applications,26,534.0,19.0,20.5,7,4,0.057,0.0505,0.707,4,3,Microsoft Word,#/leave-applications
proc_42_microsoft-edge_payroll-items,21,544.0,21.0,25.9,6,4,0.0461,0.0514,0.591,3,3,Microsoft Edge,#/payroll-items
proc_13_microsoft-edge_payroll-items,19,465.0,20.0,24.5,7,4,0.0417,0.044,0.596,5,4,Microsoft Edge,#/payroll-items
proc_44_microsoft-word_onboarding,18,375.0,20.0,20.8,4,2,0.0395,0.0355,0.707,3,3,Microsoft Word,#/onboarding
proc_08_microsoft-word_leave-applications,18,372.0,20.0,20.7,4,2,0.0395,0.0352,0.749,4,4,Microsoft Word,#/leave-applications
proc_43_microsoft-edge_payroll-items,14,313.0,21.0,22.4,5,2,0.0307,0.0296,0.79,5,2,Microsoft Edge,#/payroll-items
proc_03_microsoft-edge_leave-applications,14,279.0,20.0,19.9,5,3,0.0307,0.0264,0.764,3,3,Microsoft Edge,#/leave-applications
proc_11_microsoft-edge_social-insurance,12,295.0,17.0,24.6,4,3,0.0263,0.0279,0.439,3,3,Microsoft Edge,#/social-insurance
proc_09_microsoft-edge_leave-applications,11,313.0,27.0,28.5,4,3,0.0241,0.0296,0.663,4,3,Microsoft Edge,#/leave-applications
proc_22_microsoft-edge_onboarding,11,258.0,21.0,23.5,4,2,0.0241,0.0244,0.715,3,3,Microsoft Edge,#/onboarding
proc_26_microsoft-excel_payroll-items,10,191.0,19.0,19.1,5,2,0.0219,0.0181,0.88,4,1,Microsoft Excel,#/payroll-items
proc_41_microsoft-edge_payroll-items,10,260.0,24.0,26.0,1,1,0.0219,0.0246,0.619,4,8,Microsoft Edge,#/payroll-items
proc_40_microsoft-edge_payroll-items,10,239.0,21.0,23.9,1,1,0.0219,0.0226,0.674,5,3,Microsoft Edge,#/payroll-items
proc_83_microsoft-edge_payroll-items,9,232.0,21.0,25.8,5,3,0.0197,0.0219,0.616,2,1,Microsoft Edge,#/payroll-items
proc_66_microsoft-edge_resident-tax,8,159.0,19.0,19.9,4,3,0.0175,0.015,0.754,2,2,Microsoft Edge,#/resident-tax
proc_31_microsoft-edge,8,338.0,46.0,42.2,1,1,0.0175,0.032,0.576,4,0,Microsoft Edge,
proc_52_microsoft-edge_leave-applications,7,122.0,17.0,17.4,6,4,0.0154,0.0115,0.891,3,1,Microsoft Edge,#/leave-applications
proc_25_openwith_payroll-items,7,133.0,19.0,19.0,2,1,0.0154,0.0126,0.853,3,1,OpenWith,#/payroll-items
proc_29_windowsterminal_payroll-items,6,89.0,16.0,14.8,6,4,0.0132,0.0084,0.392,7,1,WindowsTerminal,#/payroll-items
proc_00_microsoft-edge_resident-tax,6,148.0,27.0,24.7,4,3,0.0132,0.014,0.846,3,3,Microsoft Edge,#/resident-tax
proc_47_microsoft-excel_social-insurance,6,132.0,22.0,22.0,1,1,0.0132,0.0125,0.941,2,1,Microsoft Excel,#/social-insurance
proc_05_microsoft-edge_payroll-items,6,121.0,23.0,20.2,4,1,0.0132,0.0114,0.658,5,3,Microsoft Edge,#/payroll-items
proc_77_microsoft-edge_payroll-items,6,105.0,18.0,17.5,4,3,0.0132,0.0099,0.903,3,1,Microsoft Edge,#/payroll-items
proc_45_microsoft-edge_resident-tax,5,174.0,37.0,34.8,4,4,0.011,0.0165,0.566,3,2,Microsoft Edge,#/resident-tax
proc_32_microsoft-edge_social-insurance,5,141.0,25.0,28.2,3,2,0.011,0.0133,0.638,3,1,Microsoft Edge,#/social-insurance
proc_12_openwith_payroll-items,5,124.0,22.0,24.8,1,1,0.011,0.0117,0.714,2,1,OpenWith,#/payroll-items
proc_37_microsoft-edge_http-127-0-0-1-5132,4,78.0,18.0,19.5,4,3,0.0088,0.0074,0.836,6,3,Microsoft Edge,#/http:/127.0.0.1:5132
proc_38_microsoft-edge_resident-tax,4,130.0,37.0,32.5,4,2,0.0088,0.0123,0.717,2,1,Microsoft Edge,#/resident-tax
proc_02_microsoft-edge_social-insurance,4,109.0,28.0,27.2,3,2,0.0088,0.0103,0.625,3,2,Microsoft Edge,#/social-insurance
proc_30_microsoft-word_leave-applications,4,73.0,19.0,18.2,3,2,0.0088,0.0069,0.918,2,1,Microsoft Word,#/leave-applications
proc_19_microsoft-edge_social-insurance,4,109.0,19.0,27.2,2,1,0.0088,0.0103,0.39,3,3,Microsoft Edge,#/social-insurance
proc_14_microsoft-word_payroll-items,4,71.0,18.0,17.8,3,3,0.0088,0.0067,0.955,2,2,Microsoft Word,#/payroll-items
proc_91_microsoft-edge_social-insurance,4,81.0,20.0,20.2,2,2,0.0088,0.0077,0.822,3,2,Microsoft Edge,#/social-insurance
proc_23_microsoft-edge_payroll-items,4,137.0,24.0,34.2,1,1,0.0088,0.013,0.363,2,2,Microsoft Edge,#/payroll-items
proc_63_microsoft-edge_payroll-items,3,68.0,18.0,22.7,3,2,0.0066,0.0064,0.643,2,1,Microsoft Edge,#/payroll-items
