group_id,n_members,count,total_duration_s,median_duration_s,n_sessions,n_machines,share_of_segments,share_of_time,consistency_score,top_app,top_route,member_labels
group_009,13,107,2687.0,21.0,15,4,0.2346,0.2541,0.578,Microsoft Edge,#/payroll-items,proc_13_microsoft-edge_payroll-items|proc_20_microsoft-edge_payroll-items|proc_23_microsoft-edge_payroll-items|proc_40_microsoft-edge_payroll-items|proc_41_microsoft-edge_payroll-items|proc_42_microsoft-edge_payroll-items|proc_43_microsoft-edge_payroll-items|proc_57_microsoft-edge_payroll-items|proc_63_microsoft-edge_payroll-items|proc_69_microsoft-edge_payroll-items|proc_77_microsoft-edge_payroll-items|proc_81_microsoft-edge_payroll-items|proc_83_microsoft-edge_payroll-items
group_004,4,69,1449.0,20.0,10,4,0.1513,0.137,0.686,Microsoft Edge,#/onboarding,proc_04_microsoft-edge_onboarding|proc_22_microsoft-edge_onboarding|proc_24_microsoft-edge_onboarding|proc_44_microsoft-word_onboarding
group_003,7,65,1560.0,20.0,12,4,0.1425,0.1475,0.458,Microsoft Edge,#/leave-applications,proc_03_microsoft-edge_leave-applications|proc_06_microsoft-word_leave-applications|proc_09_microsoft-edge_leave-applications|proc_18_microsoft-edge_leave-applications|proc_28_microsoft-edge_leave-applications|proc_52_microsoft-edge_leave-applications|proc_72_microsoft-edge_leave-applications
group_002,7,34,866.0,20.0,8,4,0.0746,0.0819,0.537,Microsoft Edge,#/social-insurance,proc_02_microsoft-edge_social-insurance|proc_11_microsoft-edge_social-insurance|proc_19_microsoft-edge_social-insurance|proc_32_microsoft-edge_social-insurance|proc_65_microsoft-edge_social-insurance|proc_86_microsoft-edge_social-insurance|proc_91_microsoft-edge_social-insurance
group_000,6,23,562.0,22.0,6,3,0.0504,0.0531,0.66,Microsoft Edge,#/resident-tax,proc_00_microsoft-edge_resident-tax|proc_10_microsoft-edge_resident-tax|proc_38_microsoft-edge_resident-tax|proc_66_microsoft-edge_resident-tax|proc_85_microsoft-edge_resident-tax|proc_92_microsoft-edge_resident-tax
group_007,2,20,417.0,20.0,4,2,0.0439,0.0394,0.761,Microsoft Word,#/leave-applications,proc_08_microsoft-word_leave-applications|proc_27_microsoft-word_leave-applications
group_015,4,19,383.0,20.0,7,3,0.0417,0.0362,0.856,Microsoft Excel,#/social-insurance,proc_26_microsoft-excel_payroll-items|proc_47_microsoft-excel_social-insurance|proc_67_microsoft-excel_onboarding|proc_93_microsoft-excel_leave-applications
group_001,4,17,579.0,25.0,4,3,0.0373,0.0548,0.478,Microsoft Edge,#/http:/127.0.0.1:5132,proc_01_microsoft-edge|proc_31_microsoft-edge|proc_37_microsoft-edge_http-127-0-0-1-5132|proc_48_microsoft-edge
group_008,3,13,273.0,20.0,3,1,0.0285,0.0258,0.724,OpenWith,#/payroll-items,proc_12_openwith_payroll-items|proc_25_openwith_payroll-items|proc_62_openwith_social-insurance
group_010,4,10,181.0,18.0,6,4,0.0219,0.0171,0.928,Microsoft Word,#/leave-applications,proc_14_microsoft-word_payroll-items|proc_30_microsoft-word_leave-applications|proc_56_microsoft-word_payroll-items|proc_96_microsoft-word_leave-applications
